feedback_id,filename,relative_path,category,split
FB-0041da119252,Customer_Feedback_082.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_082.pdf,Need Improvements,reference
FB-005de901b5a1,Customer_Feedback_022.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_022.pdf,Poor,reference
FB-0243d7940d68,Customer_Feedback_028.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_028.pdf,Need Improvements,reference
FB-04fa888fa943,Customer_Feedback_052.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_052.pdf,Excellent,evaluation
FB-05c05f327409,Customer_Feedback_004.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_004.pdf,Good,reference
FB-061c661e112d,Customer_Feedback_003.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_003.pdf,Need Improvements,reference
FB-0841a5875968,Customer_Feedback_069.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_069.pdf,Need Improvements,reference
FB-089f5cfbcd6b,Customer_Feedback_033.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_033.pdf,Need Improvements,reference
FB-0954e610adb0,Customer_Feedback_097.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_097.pdf,Poor,evaluation
FB-0a8a3c2393f2,Customer_Feedback_058.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_058.pdf,Good,reference
FB-0a90f54ead46,Customer_Feedback_081.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_081.pdf,Poor,reference
FB-0b6c37556775,Customer_Feedback_087.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_087.pdf,Need Improvements,reference
FB-0bb22609685f,Customer_Feedback_020.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_020.pdf,Poor,reference
FB-0f1aedd4fc8e,Customer_Feedback_093.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_093.pdf,Poor,reference
FB-1475dd43e078,Customer_Feedback_078.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_078.pdf,Poor,reference
FB-16600d07d823,Customer_Feedback_009.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_009.pdf,Need Improvements,reference
FB-16f4756586b6,Customer_Feedback_056.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_056.pdf,Need Improvements,reference
FB-19d36006cb3a,Customer_Feedback_051.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_051.pdf,Need Improvements,reference
FB-1aeb872eb96c,Customer_Feedback_089.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_089.pdf,Excellent,reference
FB-1ef96540b2b3,Customer_Feedback_002.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_002.pdf,Good,reference
FB-1f642cf9c591,Customer_Feedback_086.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_086.pdf,Poor,reference
FB-20b70517dd8b,Customer_Feedback_016.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_016.pdf,Need Improvements,reference
FB-21501bda1d17,Customer_Feedback_080.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_080.pdf,Poor,reference
FB-2179c3c2cafd,Customer_Feedback_064.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_064.pdf,Need Improvements,evaluation
FB-24a0b11f42e4,Customer_Feedback_077.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_077.pdf,Need Improvements,reference
FB-26facbe9162b,Customer_Feedback_057.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_057.pdf,Poor,evaluation
FB-29efaa07c4e2,Customer_Feedback_010.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_010.pdf,Good,evaluation
FB-2bdd209e0eb4,Customer_Feedback_050.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_050.pdf,Need Improvements,reference
FB-2c1d93ff9e8a,Customer_Feedback_061.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_061.pdf,Poor,reference
FB-32ab91ce3acd,Customer_Feedback_048.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_048.pdf,Poor,reference
FB-331898dc0d44,Customer_Feedback_014.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_014.pdf,Good,reference
FB-36180612f7a9,Customer_Feedback_062.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_062.pdf,Poor,reference
FB-361f64527a8b,Customer_Feedback_007.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_007.pdf,Good,evaluation
FB-373d16937825,Customer_Feedback_063.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_063.pdf,Good,reference
FB-3753b1d97a0a,Customer_Feedback_090.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_090.pdf,Need Improvements,reference
FB-39fffdc190ee,Customer_Feedback_024.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_024.pdf,Poor,reference
FB-3cc0190047cf,Customer_Feedback_071.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_071.pdf,Poor,reference
FB-421c8efda2b1,Customer_Feedback_074.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_074.pdf,Poor,reference
FB-442155863642,Customer_Feedback_037.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_037.pdf,Good,reference
FB-44585df8f08a,Customer_Feedback_001.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_001.pdf,Need Improvements,reference
FB-492f7ecad73c,Customer_Feedback_015.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_015.pdf,Excellent,reference
FB-5e41d6693b6a,Customer_Feedback_066.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_066.pdf,Good,reference
FB-63399e4d3363,Customer_Feedback_023.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_023.pdf,Good,reference
FB-66333544fdea,Customer_Feedback_096.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_096.pdf,Poor,reference
FB-681c7c56c217,Customer_Feedback_070.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_070.pdf,Need Improvements,reference
FB-6ac57c05f819,Customer_Feedback_043.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_043.pdf,Poor,reference
