feedback_id,filename,relative_path,category
FB-44585df8f08a,Customer_Feedback_001.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_001.pdf,Need Improvements
FB-1ef96540b2b3,Customer_Feedback_002.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_002.pdf,Good
FB-061c661e112d,Customer_Feedback_003.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_003.pdf,Need Improvements
FB-05c05f327409,Customer_Feedback_004.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_004.pdf,Good
FB-6cdc8a7001a2,Customer_Feedback_005.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_005.pdf,Poor
FB-ec943c6a4604,Customer_Feedback_006.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_006.pdf,Need Improvements
FB-361f64527a8b,Customer_Feedback_007.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_007.pdf,Good
FB-914b1bca6457,Customer_Feedback_008.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_008.pdf,Need Improvements
FB-16600d07d823,Customer_Feedback_009.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_009.pdf,Need Improvements
FB-29efaa07c4e2,Customer_Feedback_010.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_010.pdf,Good
FB-84e41648b905,Customer_Feedback_011.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_011.pdf,Poor
FB-c5dd8e323f86,Customer_Feedback_012.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_012.pdf,Need Improvements
FB-ed24c449887f,Customer_Feedback_013.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_013.pdf,Poor
FB-331898dc0d44,Customer_Feedback_014.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_014.pdf,Good
FB-492f7ecad73c,Customer_Feedback_015.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_015.pdf,Excellent
FB-20b70517dd8b,Customer_Feedback_016.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_016.pdf,Need Improvements
FB-6f1b7ff1018f,Customer_Feedback_017.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_017.pdf,Need Improvements
FB-f6a81f9c1251,Customer_Feedback_018.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_018.pdf,Good
FB-8eb0da44ff91,Customer_Feedback_019.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_019.pdf,Good
FB-0bb22609685f,Customer_Feedback_020.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_020.pdf,Poor
FB-d419c113c3bc,Customer_Feedback_021.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_021.pdf,Poor
