feedback_id,relative_path,gold_category,predicted_category,confidence,correct,gold_category_retrieved,retrieved_only_reference,retrieved_feedback_ids,retrieved_categories,status,error
FB-04fa888fa943,Sample_Data/customer_feedback_forms/Customer_Feedback_052.pdf,Excellent,Good,0.9,False,False,True,FB-39fffdc190ee;FB-7baac3542bdb;FB-bf70a54a2c9b;FB-6d643ce6c14a,Poor;Good;Need Improvements;Good,success,
FB-0954e610adb0,Sample_Data/customer_feedback_forms/Customer_Feedback_097.pdf,Poor,Poor,0.9,True,True,True,FB-0bb22609685f;FB-c83d3ac23ba2;FB-492f7ecad73c;FB-32ab91ce3acd,Poor;Need Improvements;Excellent;Poor,success,
FB-2179c3c2cafd,Sample_Data/customer_feedback_forms/Customer_Feedback_064.pdf,Need Improvements,Need Improvements,0.9,True,True,True,FB-c83d3ac23ba2;FB-cb051dfb1ebf;FB-e9385db84d81;FB-8cb6a6ca26dc,Need Improvements;Poor;Poor;Need Improvements,success,
FB-26facbe9162b,Sample_Data/customer_feedback_forms/Customer_Feedback_057.pdf,Poor,Poor,0.9,True,True,True,FB-0bb22609685f;FB-815a8674b9ac;FB-d6b197a17a83;FB-44585df8f08a,Poor;Need Improvements;Need Improvements;Need Improvements,success,
FB-29efaa07c4e2,Sample_Data/customer_feedback_forms/Customer_Feedback_010.pdf,Good,Need Improvements,0.9,False,True,True,FB-5e41d6693b6a;FB-c83d3ac23ba2;FB-9ecddfbaff24;FB-1f642cf9c591,Good;Need Improvements;Good;Poor,success,
FB-361f64527a8b,Sample_Data/customer_feedback_forms/Customer_Feedback_007.pdf,Good,Need Improvements,0.9,False,True,True,FB-0bb22609685f;FB-089f5cfbcd6b;FB-492f7ecad73c;FB-5e41d6693b6a,Poor;Need Improvements;Excellent;Good,success,
FB-6f1b7ff1018f,Sample_Data/customer_feedback_forms/Customer_Feedback_017.pdf,Need Improvements,Need Improvements,0.9,True,True,True,FB-16f4756586b6;FB-2bdd209e0eb4;FB-6ac57c05f819;FB-089f5cfbcd6b,Need Improvements;Need Improvements;Poor;Need Improvements,success,
FB-7251328ef570,Sample_Data/customer_feedback_forms/Customer_Feedback_065.pdf,Need Improvements,Need Improvements,0.9,True,True,True,FB-66333544fdea;FB-9bb7e6f8ed68;FB-442155863642;FB-763f01b84c68,Poor;Need Improvements;Good;Poor,success,
FB-7b4c5487256e,Sample_Data/customer_feedback_forms/Customer_Feedback_055.pdf,Need Improvements,Poor,0.9,False,True,True,FB-0bb22609685f;FB-44585df8f08a;FB-1f642cf9c591;FB-32ab91ce3acd,Poor;Need Improvements;Poor;Poor,success,
FB-813607ae58f5,Sample_Data/customer_feedback_forms/Customer_Feedback_068.pdf,Need Improvements,Need Improvements,0.9,True,True,True,FB-21501bda1d17;FB-bf70a54a2c9b;FB-0841a5875968;FB-0a8a3c2393f2,Poor;Need Improvements;Need Improvements;Good,success,
FB-84e41648b905,Sample_Data/customer_feedback_forms/Customer_Feedback_011.pdf,Poor,Need Improvements,0.9,False,True,True,FB-2bdd209e0eb4;FB-20b70517dd8b;FB-a6957d9d8d6d;FB-16f4756586b6,Need Improvements;Need Improvements;Poor;Need Improvements,success,
