feedback_id,relative_path,gold_category,predicted_category,confidence,correct,gold_category_retrieved,retrieved_only_reference,retrieved_feedback_ids,retrieved_categories,status,error
FB-44585df8f08a,Sample_Data/customer_feedback_forms/Customer_Feedback_001.pdf,Need Improvements,Need Improvements,0.9,True,True,True,FB-44585df8f08a;FB-061c661e112d;FB-0bb22609685f;FB-492f7ecad73c,Need Improvements;Need Improvements;Poor;Excellent,success,
FB-6f1b7ff1018f,Sample_Data/customer_feedback_forms/Customer_Feedback_017.pdf,Need Improvements,Need Improvements,0.9,True,True,True,FB-16f4756586b6;FB-2bdd209e0eb4;FB-6ac57c05f819;FB-089f5cfbcd6b,Need Improvements;Need Improvements;Poor;Need Improvements,success,
FB-8eb0da44ff91,Sample_Data/customer_feedback_forms/Customer_Feedback_019.pdf,Good,Good,0.9,True,True,True,FB-8eb0da44ff91;FB-763f01b84c68;FB-442155863642;FB-0a90f54ead46,Good;Poor;Good;Poor,success,
FB-929219f7c354,Sample_Data/customer_feedback_forms/Customer_Feedback_031.pdf,Poor,Poor,1.0,True,True,True,FB-929219f7c354;FB-ed24c449887f;FB-c83d3ac23ba2;FB-089f5cfbcd6b,Poor;Poor;Need Improvements;Need Improvements,success,
FB-d6b197a17a83,Sample_Data/customer_feedback_forms/Customer_Feedback_032.pdf,Need Improvements,Need Improvements,1.0,True,True,True,FB-d6b197a17a83;FB-061c661e112d;FB-44585df8f08a;FB-1f642cf9c591,Need Improvements;Need Improvements;Need Improvements;Poor,success,
FB-890ed736b021,Sample_Data/customer_feedback_forms/Customer_Feedback_035.pdf,Need Improvements,Need Improvements,0.9,True,True,True,FB-a6957d9d8d6d;FB-3753b1d97a0a;FB-cb051dfb1ebf;FB-ed24c449887f,Poor;Need Improvements;Poor;Poor,success,
FB-c96643260bc9,Sample_Data/customer_feedback_forms/Customer_Feedback_038.pdf,Good,Good,0.9,True,True,True,FB-c96643260bc9;FB-0a8a3c2393f2;FB-0841a5875968;FB-0f1aedd4fc8e,Good;Good;Need Improvements;Poor,success,
FB-c0a824be2306,Sample_Data/customer_feedback_forms/Customer_Feedback_041.pdf,Poor,Poor,0.9,True,True,True,FB-6cdc8a7001a2;FB-a6957d9d8d6d;FB-c83d3ac23ba2;FB-f5034132e25a,Poor;Poor;Need Improvements;Good,success,
FB-32ab91ce3acd,Sample_Data/customer_feedback_forms/Customer_Feedback_048.pdf,Poor,Poor,0.9,True,True,True,FB-32ab91ce3acd;FB-9ecddfbaff24;FB-0041da119252;FB-c83d3ac23ba2,Poor;Good;Need Improvements;Need Improvements,success,
FB-6d643ce6c14a,Sample_Data/customer_feedback_forms/Customer_Feedback_049.pdf,Good,Good,0.9,True,True,True,FB-6d643ce6c14a;FB-39fffdc190ee;FB-36180612f7a9;FB-005de901b5a1,Good;Poor;Poor;Poor,success,
